iter	Passed	Remaining
870	983	145
871	984	144
872	985	143
873	986	142
874	987	141
875	988	139
876	989	138
877	990	137
878	991	136
879	992	135
880	993	134
881	994	133
882	995	131
883	996	130
884	998	129
885	999	128
886	1000	127
887	1001	126
888	1002	125
889	1003	124
890	1004	122
891	1005	121
892	1006	120
893	1007	119
894	1008	118
895	1009	117
896	1010	116
897	1011	114
898	1012	113
899	1013	112
900	1015	111
901	1016	110
902	1018	109
903	1019	108
904	1019	107
905	1020	105
906	1021	104
907	1022	103
908	1023	102
909	1024	101
910	1025	100
911	1026	99
912	1027	97
913	1029	96
914	1030	95
915	1031	94
916	1032	93
917	1034	92
918	1035	91
919	1036	90
920	1037	88
921	1038	87
922	1039	86
923	1040	85
924	1041	84
925	1042	83
926	1044	82
927	1045	81
928	1046	80
929	1047	78
930	1049	77
931	1049	76
932	1050	75
933	1051	74
934	1052	73
935	1053	72
936	1054	70
937	1055	69
938	1056	68
939	1057	67
940	1058	66
941	1059	65
942	1060	64
943	1061	62
944	1062	61
945	1063	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1068	55
951	1069	53
952	1070	52
953	1071	51
954	1072	50
955	1072	49
956	1073	48
957	1074	47
958	1075	45
959	1076	44
960	1077	43
961	1078	42
962	1079	41
963	1080	40
964	1081	39
965	1083	38
966	1084	36
967	1085	35
968	1086	34
969	1087	33
970	1088	32
971	1089	31
972	1090	30
973	1091	29
974	1092	28
975	1093	26
976	1094	25
977	1095	24
978	1096	23
979	1097	22
980	1098	21
981	1099	20
982	1100	19
983	1101	17
984	1102	16
985	1103	15
986	1104	14
987	1104	13
988	1105	12
989	1106	11
990	1107	10
991	1109	8
992	1110	7
993	1111	6
994	1112	5
995	1113	4
996	1115	3
997	1116	2
998	1122	1
999	1124	0
