Repetition,Algorithm,MCC,AUC,BA,F1,Recall,Specificity,Precision,PRAUC,Best_Params
2,GNB,0.6216038822203304,0.8548951048951049,0.8094405594405594,0.7906976744186046,0.7727272727272727,0.8461538461538461,0.8095238095238095,0.8606323508783464,default
2,LDA,0.6216038822203304,0.8846153846153847,0.8094405594405594,0.7906976744186046,0.7727272727272727,0.8461538461538461,0.8095238095238095,0.9014816306796547,default
2,RF,0.5379391211744428,0.8697552447552447,0.763986013986014,0.7317073170731707,0.6818181818181818,0.8461538461538461,0.7894736842105263,0.8761606668794608,default
2,LightGBM,0.4965034965034965,0.8653846153846153,0.7482517482517483,0.7272727272727273,0.7272727272727273,0.7692307692307693,0.7272727272727273,0.8452909504490055,default
2,XGBoost,0.5373186100548619,0.8793706293706294,0.7674825174825175,0.7441860465116279,0.7272727272727273,0.8076923076923077,0.7619047619047619,0.8716227318030693,default
2,CatBoost,0.57953786404698,0.8531468531468532,0.7867132867132867,0.7619047619047619,0.7272727272727273,0.8461538461538461,0.8,0.8667592663683867,default
3,LR_ElasticNet,0.755507463439817,0.919732441471572,0.8745819397993311,0.8636363636363636,0.8260869565217391,0.9230769230769231,0.9047619047619048,0.9379613168136457,default
3,GNB,0.46221450469963704,0.8862876254180602,0.7232441471571907,0.7407407407407407,0.8695652173913043,0.5769230769230769,0.6451612903225806,0.9100234356484993,default
3,LDA,0.7130912633061056,0.9163879598662207,0.8553511705685619,0.8444444444444444,0.8260869565217391,0.8846153846153846,0.8636363636363636,0.9365741547830735,default
3,RF,0.672873834626087,0.9080267558528428,0.8336120401337792,0.8181818181818182,0.782608695652174,0.8846153846153846,0.8571428571428571,0.9257352348388167,default
3,LightGBM,0.5903010033444817,0.882943143812709,0.7951505016722409,0.782608695652174,0.782608695652174,0.8076923076923077,0.782608695652174,0.9095980879382604,default
3,XGBoost,0.6327220837212335,0.8963210702341137,0.8168896321070234,0.8085106382978723,0.8260869565217391,0.8076923076923077,0.7916666666666666,0.9122508975543137,default
3,CatBoost,0.7130912633061056,0.911371237458194,0.8553511705685619,0.8444444444444444,0.8260869565217391,0.8846153846153846,0.8636363636363636,0.9322593167701864,default
3,LR_ElasticNet,0.67003367003367,0.8956228956228957,0.835016835016835,0.8181818181818182,0.8181818181818182,0.8518518518518519,0.8181818181818182,0.8678372262763974,default
3,GNB,0.4991837061245434,0.8922558922558923,0.7466329966329966,0.7450980392156863,0.8636363636363636,0.6296296296296297,0.6551724137931034,0.8922897733450512,default
3,LDA,0.627757664824853,0.8922558922558923,0.8122895622895623,0.7906976744186046,0.7727272727272727,0.8518518518518519,0.8095238095238095,0.8663847082008556,default
3,RF,0.5486608072966978,0.8627946127946128,0.7752525252525253,0.7555555555555555,0.7727272727272727,0.7777777777777778,0.7391304347826086,0.8354415292184303,default
3,LightGBM,0.5875420875420876,0.8535353535353535,0.7937710437710437,0.7727272727272727,0.7727272727272727,0.8148148148148148,0.7727272727272727,0.8104202173158888,default
3,XGBoost,0.5108942227567661,0.867003367003367,0.7567340067340067,0.7391304347826086,0.7727272727272727,0.7407407407407407,0.7083333333333334,0.8640080909729798,default
